category_key,category,sample_count,scenario_count,guided_mean_iou,best_unguided_mean_iou,best_unguided_mean_iou_model,guided_uplift_mean_iou,guided_primary_success_rate_iou_025,best_unguided_primary_success_rate_iou_025,best_unguided_primary_success_rate_iou_025_model,guided_uplift_primary_success_rate_iou_025,guided_strict_success_rate_iou_050,best_unguided_strict_success_rate_iou_050,best_unguided_strict_success_rate_iou_050_model,guided_uplift_strict_success_rate_iou_050
all_prompts,All prompts,105,35,0.4733519692284569,0.343981249568548,OWL-ViT,0.12937071965990893,0.780952380952381,0.5428571428571428,GPT Vision,0.23809523809523814,0.5714285714285714,0.4095238095238095,OWL-ViT,0.16190476190476188
simple_target,Direct target,9,3,0.25119757696997186,0.2927013818655709,GPT Vision,-0.04150380489559902,0.3333333333333333,0.3333333333333333,GPT Vision,0.0,0.2222222222222222,0.3333333333333333,GPT Vision,-0.1111111111111111
spatial_relation,Spatial relation,81,27,0.4791697861552125,0.32615490699559324,OWL-ViT,0.15301487915961925,0.8148148148148148,0.5432098765432098,GPT Vision,0.2716049382716049,0.5679012345679012,0.38271604938271603,OWL-ViT,0.18518518518518517
attribute_selection,Attribute selection,29,10,0.5779133451724305,0.5133183706791953,OWL-ViT,0.06459497449323526,0.8620689655172413,0.7586206896551724,GPT Vision,0.10344827586206895,0.7931034482758621,0.6206896551724138,OWL-ViT,0.1724137931034483
multiple_reference_objects,Multiple references,6,2,0.6147279566610161,0.3048591826766605,Grounding DINO,0.3098687739843556,1.0,0.3333333333333333,Grounding DINO,0.6666666666666667,0.8333333333333334,0.3333333333333333,Grounding DINO,0.5
multi_instance_or_ordinal,Multi-instance / ordinal,12,4,0.20024850475828615,0.290979131894164,GPT Vision,-0.09073062713587787,0.4166666666666667,0.5,GPT Vision,-0.08333333333333331,0.0,0.08333333333333333,GPT Vision,-0.08333333333333333
negation,Negation,3,1,0.5997788657415989,0.7378507788056784,OWL-ViT,-0.1380719130640795,1.0,1.0,Grounding DINO,0.0,1.0,1.0,Grounding DINO,0.0
occlusion,Occlusion,3,1,0.2545649027447102,0.022110701839245128,Grounding DINO,0.2324542009054651,0.6666666666666666,0.0,Grounding DINO,0.6666666666666666,0.0,0.0,Grounding DINO,0.0
complex_instruction,Complex instruction,47,16,0.4556660267891706,0.36538288492685805,OWL-ViT,0.09028314186231257,0.7659574468085106,0.5531914893617021,GPT Vision,0.21276595744680848,0.5531914893617021,0.425531914893617,OWL-ViT,0.12765957446808512
